Codigo,Calle,Latitudes,Longitudes,CODIGO ESRI,Name,Nombre,SIgla,ProPIedad,DAP,Altura,Radio,Estado,PODA,TratamIento,PRIORIDAD TRATAMIENTO,TAZA,FísIco,Hongos,Insectos,VIrus/BacterIa,OBSERVACIONES,N° REBROTES,
150AI13,INTERIOR PATIO,,,,ACER,,,CEM,8,4,"1,5",Malo,PODA,CORTA,3,NO,Rebrotes,,,CANCER CORTEZA,,,
150AI14,INTERIOR PATIO,,,,CIruelo rojo,,,CEM,20,4,"0,5",Malo,NO APLICA,CORTA,1,NO,,,,,DESMOCHADO,,
150AI15,INTERIOR PATIO,,,,CIruelo rojo,,,CEM,15,2,0,Malo,NO APLICA,CORTA,1,NO,,,,,DESMOCHADO,,
150AI16,INTERIOR PATIO,,,,PALMAERA CANARIA,,,SePultura,8,"0,5","0,5",Bueno,NO APLICA,EXTRACCION,3,NO,,,,,,,
150AI17,INTERIOR PATIO,,,,ACER,,,SePultura,8,"0,5",0,Malo,NO APLICA,HERBICIDA,1,NO,,,,,,,
167AP01,MEXICO NORTE,,,,FALSO ACACIO,Robina pseudoacacia,R p,CEM,27,6,2,Bueno,PODA,MANTENCION,3,NO,,,,,,,
167AP02,MEXICO NORTE,,,,FALSO ACACIO,Robina pseudoacacia,,CEM,37,6,2,Bueno,PODA,MANTENCION,3,NO,,,,,,,
167AP03,MEXICO NORTE,,,,ACER,Ace negundo,,CEM,15,6,2,Bueno,PODA,MANTENCION,3,NO,,,,,,,
167AP04,MEXICO NORTE,,,,palqui,,,CEM,2,2,"0,2",Bueno,NO APLICA,CORTA,3,NO,,,,,,,
167AP05,MEXICO NORTE,,,,AIlantus,,,CEM,2,2,"0,2",Bueno,NO APLICA,CORTA,3,NO,,,,,,,
167AP06,MEXICO NORTE,,,,FALSO ACACIO,,,CEM,25,6,2,Bueno,PODA,MANTENCION,3,NO,,,,,,,
167AP07,MEXICO NORTE,,,,ACER,,,CEM,19,5,"1,5",Regular,PODA,MANTENCION,2,NO,,,insectos,,,,
167AP08,MEXICO NORTE,,,,FALSO ACACIO,,,CEM,32,6,2,Bueno,PODA,MANTENCION,3,NO,,,,,,,
